+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|               clk_fpga_0 |               clk_fpga_0 |                         design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/mem_reg/ADDRBWRADDR[11]|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/usedw_reg[6]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/usedw_reg[6]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/usedw_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/usedw_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/usedw_reg[4]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/usedw_reg[4]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/truncate_tree_U0/ap_CS_fsm_reg[4]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/usedw_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/usedw_reg[2]/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_mem_intercon/s01_couplers/auto_us/inst/gen_upsizer.gen_full_upsizer.axi_upsizer_inst/USE_WRITE.write_addr_inst/GEN_CMD_QUEUE.cmd_queue/USE_RTL_ADDR.addr_q_reg[4]/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_dma_encoding/U0/I_PRMRY_DATAMOVER/GEN_S2MM_FULL.I_S2MM_FULL_WRAPPER/GEN_INCLUDE_REALIGNER.I_S2MM_REALIGNER/GEN_INCLUDE_SCATTER.I_S2MM_SCATTER/ld_btt_cntr_reg3_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                 design_1_i/huffman_encoding_0/inst/truncated_length_his_1_U/empty_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_dma_encoding/U0/I_PRMRY_DATAMOVER/GEN_S2MM_FULL.I_S2MM_FULL_WRAPPER/GEN_INCLUDE_REALIGNER.I_S2MM_REALIGNER/GEN_INCLUDE_SCATTER.I_S2MM_SCATTER/ld_btt_cntr_reg2_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                   design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/empty_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_mem_intercon/s01_couplers/auto_us/inst/gen_upsizer.gen_full_upsizer.axi_upsizer_inst/USE_WRITE.write_addr_inst/GEN_CMD_QUEUE.cmd_queue/USE_RTL_ADDR.addr_q_reg[1]/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_mem_intercon/s01_couplers/auto_us/inst/gen_upsizer.gen_full_upsizer.axi_upsizer_inst/USE_WRITE.write_addr_inst/GEN_CMD_QUEUE.cmd_queue/USE_RTL_ADDR.addr_q_reg[3]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/show_ahead_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/show_ahead_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                design_1_i/huffman_encoding_0/inst/canonize_tree_U0/t_V_5_reg_151_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/full_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                  design_1_i/huffman_encoding_0/inst/truncated_length_his_1_U/full_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/sorted_copy1_0_chann_U/full_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/canonize_tree_U0/ap_CS_fsm_reg[5]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                design_1_i/huffman_encoding_0/inst/canonize_tree_U0/t_V_5_reg_151_reg[7]/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_mem_intercon/s01_couplers/auto_us/inst/gen_upsizer.gen_full_upsizer.axi_upsizer_inst/USE_WRITE.write_addr_inst/GEN_CMD_QUEUE.cmd_queue/data_Exists_I_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_mem_intercon/s01_couplers/auto_us/inst/gen_upsizer.gen_full_upsizer.axi_upsizer_inst/USE_WRITE.write_addr_inst/GEN_CMD_QUEUE.cmd_queue/USE_RTL_VALID_WRITE.buffer_Full_q_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/truncate_tree_U0/ap_CS_fsm_reg[7]/D|
|               clk_fpga_0 |               clk_fpga_0 |                                    design_1_i/huffman_encoding_0/inst/truncate_tree_U0/ap_CS_fsm_reg[9]/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_dma_encoding/U0/I_PRMRY_DATAMOVER/GEN_S2MM_FULL.I_S2MM_FULL_WRAPPER/GEN_ENABLE_INDET_BTT_SF.I_INDET_BTT/I_DATA_FIFO/BLK_MEM.I_SYNC_FIFOGEN_FIFO/xpm_fifo_instance.xpm_fifo_sync_inst/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/DIBDI[5]|
|               clk_fpga_0 |               clk_fpga_0 |                                   design_1_i/huffman_encoding_0/inst/sorted_copy1_1_chann_U/empty_n_reg/D|
|               clk_fpga_0 |               clk_fpga_0 |design_1_i/axi_dma_encoding/U0/I_PRMRY_DATAMOVER/GEN_S2MM_FULL.I_S2MM_FULL_WRAPPER/GEN_INCLUDE_REALIGNER.I_S2MM_REALIGNER/GEN_INCLUDE_SCATTER.I_S2MM_SCATTER/sig_eop_halt_xfer_reg/D|
